MC7X19.1,5.61,7,0.352,0.176,3.45,0.5,1.13,1  1/8 ,–,19.1,43.1,12.3,2.77,14.5,6.06,2.55,1.04,4.85,1.19,6.5,0.407,49.3
MC6X18,5.29,6,0.379,0.1895,3.5,0.475,1.06,1  1/16,–,18,29.7,9.89,2.37,11.7,5.88,2.47,1.05,4.68,1.2,5.53,0.379,34.6
MC6X15.3,4.49,6,0.34,0.17,3.5,0.385,0.875,  7/8 ,–,15.3,25.3,8.44,2.38,9.91,4.91,2.01,1.05,3.85,1.2,5.62,0.223,30
MC6X16.3,4.79,6,0.375,0.1875,3,0.475,1.06,1  1/16,–,16.3,26,8.66,2.33,10.4,3.77,1.82,0.887,3.47,1.03,5.53,0.336,22.1
MC6X15.1,4.44,6,0.316,0.158,2.94,0.475,1.06,1  1/16,–,15.1,24.9,8.3,2.37,9.83,3.46,1.73,0.883,3.3,1.01,5.53,0.285,20.5
MC6X12,3.53,6,0.31,0.155,2.5,0.375,0.875,  7/8 ,–,12,18.7,6.24,2.3,7.47,1.85,1.03,0.724,1.97,0.856,5.63,0.155,11.3
MC6X7,2.09,6,0.179,0.0895,1.88,0.291,0.75,  3/4 ,–,7,11.4,3.81,2.34,4.5,0.603,0.439,0.537,0.865,0.638,5.71,0.0464,4
MC6X6.5,1.95,6,0.155,0.0775,1.85,0.291,0.75,  3/4 ,–,6.5,11,3.66,2.38,4.28,0.565,0.422,0.539,0.836,0.631,5.71,0.0412,3.75
MC4X13.8,4.03,4,0.5,0.25,2.5,0.5,1,1,–,13.8,8.85,4.43,1.48,5.53,2.13,1.29,0.727,2.4,0.851,3.5,0.373,4.84
MC3X7.1,2.11,3,0.312,0.156,1.94,0.351,0.813, 13/16,–,7.1,2.72,1.81,1.14,2.24,0.666,0.518,0.562,0.998,0.657,2.65,0.0928,0.915
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
W4X13,3.83,4.16,0.28,0.14,4.06,0.345,0.595,  3/4 ,  1/2 ,13,11.3,5.46,1.72,6.28,3.86,1.9,1,2.92,1.16,3.82,0.151,14
MC18X58,17.1,18,0.7,0.35,4.2,0.625,1.44,1  7/16,–,58,675,75,6.29,95.4,17.6,5.28,1.02,10.7,1.35,17.4,2.81,1070
MC18X51.9,15.3,18,0.6,0.3,4.1,0.625,1.44,1  7/16,–,51.9,627,69.6,6.41,87.3,16.3,5.02,1.03,9.86,1.35,17.4,2.03,985
MC18X45.8,13.5,18,0.5,0.25,4,0.625,1.44,1  7/16,–,45.8,578,64.2,6.55,79.2,14.9,4.77,1.05,9.14,1.34,17.4,1.45,897
MC18X42.7,12.6,18,0.45,0.225,3.95,0.625,1.44,1  7/16,–,42.7,554,61.5,6.64,75.1,14.3,4.64,1.07,8.82,1.34,17.4,1.23,852
MC13X50,14.7,13,0.787,0.3935,4.41,0.61,1.44,1  7/16,–,50,314,48.3,4.62,60.8,16.4,4.77,1.06,10.2,1.41,12.4,2.96,558
MC13X40,11.7,13,0.56,0.28,4.19,0.61,1.44,1  7/16,–,40,273,41.9,4.82,51.2,13.7,4.24,1.08,8.66,1.38,12.4,1.55,462
MC13X35,10.3,13,0.447,0.2235,4.07,0.61,1.44,1  7/16,–,35,252,38.8,4.95,46.5,12.3,3.97,1.09,8.04,1.35,12.4,1.13,412
MC13X31.8,9.35,13,0.375,0.1875,4,0.61,1.44,1  7/16,–,31.8,239,36.7,5.05,43.4,11.4,3.79,1.1,7.69,1.34,12.4,0.937,380
MC12X50,14.7,12,0.835,0.4175,4.14,0.7,1.31,1  5/16,–,50,269,44.9,4.28,56.5,17.4,5.64,1.09,10.9,1.37,11.3,3.23,411
MC12X45,13.2,12,0.71,0.355,4.01,0.7,1.31,1  5/16,–,45,251,41.9,4.36,52,15.8,5.3,1.09,10.1,1.35,11.3,2.33,373
MC12X40,11.8,12,0.59,0.295,3.89,0.7,1.31,1  5/16,–,40,234,39,4.46,47.7,14.2,4.98,1.1,9.31,1.33,11.3,1.69,336
MC12X35,10.3,12,0.465,0.2325,3.77,0.7,1.31,1  5/16,–,35,216,36,4.59,43.2,12.6,4.64,1.11,8.62,1.3,11.3,1.24,297
MC12X31,9.12,12,0.37,0.185,3.67,0.7,1.31,1  5/16,–,31,202,33.7,4.71,39.7,11.3,4.37,1.11,8.15,1.28,11.3,1,267
MC12X14.3,4.18,12,0.25,0.125,2.12,0.313,0.75,  3/4 ,–,14.3,76.1,12.7,4.27,15.9,1,0.574,0.489,1.21,0.672,11.7,0.117,32.8
MC12X10.6,3.1,12,0.19,0.095,1.5,0.309,0.75,  3/4 ,–,10.6,55.3,9.22,4.22,11.6,0.378,0.307,0.349,0.635,0.478,11.7,0.0596,11.7
MC10X41.1,12.1,10,0.796,0.398,4.32,0.575,1.31,1  5/16,–,41.1,157,31.5,3.61,39.3,15.7,4.85,1.14,9.49,1.44,9.43,2.26,269
MC10X33.6,9.87,10,0.575,0.2875,4.1,0.575,1.31,1  5/16,–,33.6,139,27.8,3.75,33.7,13.1,4.35,1.15,8.28,1.4,9.43,1.2,224
MC10X28.5,8.37,10,0.425,0.2125,3.95,0.575,1.31,1  5/16,–,28.5,126,25.3,3.89,30,11.3,3.99,1.16,7.59,1.36,9.43,0.791,193
MC10X25,7.34,10,0.38,0.19,3.41,0.575,1.31,1  5/16,–,25,110,22,3.87,26.2,7.25,2.96,0.993,5.65,1.17,9.43,0.638,124
MC10X22,6.45,10,0.29,0.145,3.32,0.575,1.31,1  5/16,–,22,102,20.5,3.99,23.9,6.4,2.75,0.997,5.29,1.14,9.43,0.51,110
MC10X8.4,2.46,10,0.17,0.085,1.5,0.28,0.75,  3/4 ,–,8.4,31.9,6.39,3.61,7.92,0.326,0.268,0.364,0.548,0.486,9.72,0.0413,7
MC10X6.5,1.95,10,0.152,0.076,1.17,0.202,0.563,  9/16,–,6.5,22.9,4.59,3.43,5.9,0.133,0.137,0.262,0.284,0.363,9.8,0.0191,2.76
MC9X25.4,7.47,9,0.45,0.225,3.5,0.55,1.25,1  1/4 ,–,25.4,87.9,19.5,3.43,23.5,7.57,2.99,1.01,5.7,1.2,8.45,0.691,104
MC9X23.9,7.02,9,0.4,0.2,3.45,0.55,1.25,1  1/4 ,–,23.9,84.9,18.9,3.48,22.5,7.14,2.89,1.01,5.51,1.18,8.45,0.599,98
MC8X22.8,6.7,8,0.427,0.2135,3.5,0.525,1.19,1  3/16,–,22.8,63.8,15.9,3.09,19.1,7.01,2.81,1.02,5.37,1.2,7.48,0.572,75.2
MC8X21.4,6.28,8,0.375,0.1875,3.45,0.525,1.19,1  3/16,–,21.4,61.5,15.4,3.13,18.2,6.58,2.71,1.02,5.18,1.18,7.48,0.495,70.8
MC8X20,5.87,8,0.4,0.2,3.03,0.5,1.13,1  1/8 ,–,20,54.4,13.6,3.04,16.4,4.42,2.02,0.867,3.86,1.03,7.5,0.441,47.8
MC8X18.7,5.5,8,0.353,0.1765,2.98,0.5,1.13,1  1/8 ,–,18.7,52.4,13.1,3.09,15.6,4.15,1.95,0.868,3.72,1.02,7.5,0.38,45
MC8X8.5,2.5,8,0.179,0.0895,1.87,0.311,0.813, 13/16,–,8.5,23.3,5.82,3.05,6.95,0.624,0.431,0.5,0.875,0.624,7.69,0.0587,8.21
MC7X22.7,6.67,7,0.503,0.2515,3.6,0.5,1.13,1  1/8 ,–,22.7,47.4,13.5,2.67,16.4,7.24,2.83,1.04,5.38,1.23,6.5,0.625,58.3
MC7X19.1,5.61,7,0.352,0.176,3.45,0.5,1.13,1  1/8 ,–,19.1,43.1,12.3,2.77,14.5,6.06,2.55,1.04,4.85,1.19,6.5,0.407,49.3
MC6X18,5.29,6,0.379,0.1895,3.5,0.475,1.06,1  1/16,–,18,29.7,9.89,2.37,11.7,5.88,2.47,1.05,4.68,1.2,5.53,0.379,34.6
MC6X15.3,4.49,6,0.34,0.17,3.5,0.385,0.875,  7/8 ,–,15.3,25.3,8.44,2.38,9.91,4.91,2.01,1.05,3.85,1.2,5.62,0.223,30
MC6X16.3,4.79,6,0.375,0.1875,3,0.475,1.06,1  1/16,–,16.3,26,8.66,2.33,10.4,3.77,1.82,0.887,3.47,1.03,5.53,0.336,22.1
MC6X15.1,4.44,6,0.316,0.158,2.94,0.475,1.06,1  1/16,–,15.1,24.9,8.3,2.37,9.83,3.46,1.73,0.883,3.3,1.01,5.53,0.285,20.5
MC6X12,3.53,6,0.31,0.155,2.5,0.375,0.875,  7/8 ,–,12,18.7,6.24,2.3,7.47,1.85,1.03,0.724,1.97,0.856,5.63,0.155,11.3
MC6X7,2.09,6,0.179,0.0895,1.88,0.291,0.75,  3/4 ,–,7,11.4,3.81,2.34,4.5,0.603,0.439,0.537,0.865,0.638,5.71,0.0464,4
MC6X6.5,1.95,6,0.155,0.0775,1.85,0.291,0.75,  3/4 ,–,6.5,11,3.66,2.38,4.28,0.565,0.422,0.539,0.836,0.631,5.71,0.0412,3.75
MC4X13.8,4.03,4,0.5,0.25,2.5,0.5,1,1,–,13.8,8.85,4.43,1.48,5.53,2.13,1.29,0.727,2.4,0.851,3.5,0.373,4.84
MC3X7.1,2.11,3,0.312,0.156,1.94,0.351,0.813, 13/16,–,7.1,2.72,1.81,1.14,2.24,0.666,0.518,0.562,0.998,0.657,2.65,0.0928,0.915
